输入参数,数值
起始价格,8.300
步长比例,6.00%
最大跌幅,60.00%
资金模式,固定每格金额
每格金额（元）,5000.00
单边费率,0.000%
留利润策略,关闭（网格 1.0）

压力测试,数值
实际价格步长,0.498
覆盖跌幅,60.00%
网格档数,11
证券本金预算,55000.00
计划现金,55000.00
最大实际投入,52157.20
未使用现金,2842.80
总持仓,9800
平均成本,5.322
最低买入价,3.320
最低档情景-持仓总市值,32536.00
最低档浮亏,-19621.20
最低档浮亏比例,-37.62%

序号,档位,买入价格,卖出价格,买入数量,买入金额,卖出数量,卖出金额,盈利金额,盈利比例
1,8.300,8.300,8.798,600,4980.00,600,5278.80,298.80,6.00%
2,7.802,7.802,8.300,600,4681.20,600,4980.00,298.80,6.38%
3,7.304,7.304,7.802,600,4382.40,600,4681.20,298.80,6.82%
4,6.806,6.806,7.304,700,4764.20,700,5112.80,348.60,7.32%
5,6.308,6.308,6.806,700,4415.60,700,4764.20,348.60,7.89%
6,5.810,5.810,6.308,800,4648.00,800,5046.40,398.40,8.57%
7,5.312,5.312,5.810,900,4780.80,900,5229.00,448.20,9.38%
8,4.814,4.814,5.312,1000,4814.00,1000,5312.00,498.00,10.34%
9,4.316,4.316,4.814,1100,4747.60,1100,5295.40,547.80,11.54%
10,3.818,3.818,4.316,1300,4963.40,1300,5610.80,647.40,13.04%
11,3.320,3.320,3.818,1500,4980.00,1500,5727.00,747.00,15.00%
