date,close
2018-01-19,1.001
2018-01-22,1.023
2018-01-23,1.029
2018-01-24,1.065
2018-01-25,1.065
2018-01-26,1.069
2018-01-29,1.056
2018-01-30,1.046
2018-01-31,1.02
2018-02-01,0.994
2018-02-02,0.999
2018-02-05,0.989
2018-02-06,0.943
2018-02-07,0.95
2018-02-08,0.953
2018-02-09,0.918
2018-02-12,0.943
2018-02-13,0.94
2018-02-14,0.935
2018-02-22,0.953
2018-02-23,0.945
2018-02-26,0.968
2018-02-27,0.989
2018-02-28,0.989
2018-03-01,1.004
2018-03-02,1.001
2018-03-05,1.002
2018-03-06,1.008
2018-03-07,1.002
2018-03-08,1.003
2018-03-09,1.027
2018-03-12,1.044
2018-03-13,1.042
2018-03-14,1.034
2018-03-15,1.025
2018-03-16,1.022
2018-03-19,1.022
2018-03-20,1.022
2018-03-21,1.006
2018-03-22,1.004
2018-03-23,0.955
2018-03-26,0.973
2018-03-27,1.0
2018-03-28,0.995
2018-03-29,0.995
2018-03-30,1.008
2018-04-02,1.011
2018-04-03,0.991
2018-04-04,0.98
2018-04-09,0.977
2018-04-10,0.977
2018-04-11,0.984
2018-04-12,0.974
2018-04-13,0.977
2018-04-16,0.98
2018-04-17,0.952
2018-04-18,0.958
2018-04-19,0.962
2018-04-20,0.939
2018-04-23,0.922
2018-04-24,0.952
2018-04-25,0.956
2018-04-26,0.939
2018-04-27,0.945
2018-05-02,0.938
2018-05-03,0.945
2018-05-04,0.939
2018-05-07,0.95
2018-05-08,0.957
2018-05-09,0.954
2018-05-10,0.959
2018-05-11,0.952
2018-05-14,0.947
2018-05-15,0.96
2018-05-16,0.956
2018-05-17,0.953
2018-05-18,0.959
2018-05-21,0.969
2018-05-22,0.968
2018-05-23,0.96
2018-05-24,0.958
2018-05-25,0.944
2018-05-28,0.935
2018-05-29,0.935
2018-05-30,0.904
2018-05-31,0.917
2018-06-01,0.904
2018-06-04,0.9
2018-06-05,0.912
2018-06-06,0.91
2018-06-07,0.908
2018-06-08,0.893
2018-06-11,0.889
2018-06-12,0.897
2018-06-13,0.884
2018-06-14,0.875
2018-06-15,0.862
2018-06-19,0.81
2018-06-20,0.81
2018-06-21,0.788
2018-06-22,0.8
2018-06-25,0.797
2018-06-26,0.807
2018-06-27,0.799
2018-06-28,0.791
2018-06-29,0.824
2018-07-02,0.814
2018-07-03,0.826
2018-07-04,0.811
2018-07-05,0.8
2018-07-06,0.803
2018-07-09,0.816
2018-07-10,0.815
2018-07-11,0.789
2018-07-12,0.812
2018-07-13,0.816
2018-07-16,0.817
2018-07-17,0.816
2018-07-18,0.805
2018-07-19,0.809
2018-07-20,0.819
2018-07-23,0.827
2018-07-24,0.832
2018-07-25,0.837
2018-07-26,0.83
2018-07-27,0.821
2018-07-30,0.804
2018-07-31,0.804
2018-08-01,0.795
2018-08-02,0.771
2018-08-03,0.758
2018-08-06,0.746
2018-08-07,0.765
2018-08-08,0.755
2018-08-09,0.775
2018-08-10,0.778
2018-08-13,0.779
2018-08-14,0.772
2018-08-15,0.756
2018-08-16,0.745
2018-08-17,0.729
2018-08-20,0.735
2018-08-21,0.743
2018-08-22,0.733
2018-08-23,0.739
2018-08-24,0.736
2018-08-27,0.754
2018-08-28,0.758
2018-08-29,0.754
2018-08-30,0.743
2018-08-31,0.728
2018-09-03,0.728
2018-09-04,0.741
2018-09-05,0.733
2018-09-06,0.731
2018-09-07,0.725
2018-09-10,0.706
2018-09-11,0.703
2018-09-12,0.706
2018-09-13,0.706
2018-09-14,0.7
2018-09-17,0.69
2018-09-18,0.701
2018-09-19,0.708
2018-09-20,0.705
2018-09-21,0.717
2018-09-25,0.715
2018-09-26,0.718
2018-09-27,0.709
2018-09-28,0.714
2018-10-08,0.684
2018-10-09,0.681
2018-10-10,0.679
2018-10-11,0.635
2018-10-12,0.634
2018-10-15,0.621
2018-10-16,0.611
2018-10-17,0.623
2018-10-18,0.614
2018-10-19,0.633
2018-10-22,0.664
2018-10-23,0.649
2018-10-24,0.647
2018-10-25,0.646
2018-10-26,0.642
2018-10-29,0.638
2018-10-30,0.64
2018-10-31,0.647
2018-11-01,0.657
2018-11-02,0.683
2018-11-05,0.682
2018-11-06,0.678
2018-11-07,0.676
2018-11-08,0.668
2018-11-09,0.666
2018-11-12,0.687
2018-11-13,0.713
2018-11-14,0.705
2018-11-15,0.723
2018-11-16,0.729
2018-11-19,0.724
2018-11-20,0.702
2018-11-21,0.704
2018-11-22,0.707
2018-11-23,0.68
2018-11-26,0.677
2018-11-27,0.683
2018-11-28,0.704
2018-11-29,0.68
2018-11-30,0.68
2018-12-03,0.7
2018-12-04,0.704
2018-12-05,0.7
2018-12-06,0.687
2018-12-07,0.689
2018-12-10,0.689
2018-12-11,0.699
2018-12-12,0.696
2018-12-13,0.704
2018-12-14,0.688
2018-12-17,0.684
2018-12-18,0.68
2018-12-19,0.673
2018-12-20,0.674
2018-12-21,0.675
2018-12-24,0.676
2018-12-25,0.665
2018-12-26,0.664
2018-12-27,0.661
2018-12-28,0.655
2019-01-02,0.648
2019-01-03,0.649
2019-01-04,0.665
2019-01-07,0.676
2019-01-08,0.674
2019-01-09,0.675
2019-01-10,0.676
2019-01-11,0.682
2019-01-14,0.669
2019-01-15,0.682
2019-01-16,0.682
2019-01-17,0.675
2019-01-18,0.681
2019-01-21,0.683
2019-01-22,0.672
2019-01-23,0.671
2019-01-24,0.675
2019-01-25,0.677
2019-01-28,0.675
2019-01-29,0.663
2019-01-30,0.65
2019-01-31,0.644
2019-02-01,0.661
2019-02-11,0.675
2019-02-12,0.681
2019-02-13,0.696
2019-02-14,0.7
2019-02-15,0.691
2019-02-18,0.717
2019-02-19,0.719
2019-02-20,0.718
2019-02-21,0.725
2019-02-22,0.756
2019-02-25,0.809
2019-02-26,0.819
2019-02-27,0.814
2019-02-28,0.809
2019-03-01,0.819
2019-03-04,0.844
2019-03-05,0.867
2019-03-06,0.89
2019-03-07,0.905
2019-03-08,0.867
2019-03-11,0.894
2019-03-12,0.939
2019-03-13,0.903
2019-03-14,0.874
2019-03-15,0.866
2019-03-18,0.891
2019-03-19,0.901
2019-03-20,0.906
2019-03-21,0.936
2019-03-22,0.923
2019-03-25,0.897
2019-03-26,0.865
2019-03-27,0.863
2019-03-28,0.847
2019-03-29,0.875
2019-04-01,0.908
2019-04-02,0.905
2019-04-03,0.913
2019-04-04,0.913
2019-04-08,0.894
2019-04-09,0.903
2019-04-10,0.898
2019-04-11,0.871
2019-04-12,0.878
2019-04-15,0.864
2019-04-16,0.88
2019-04-17,0.882
2019-04-18,0.877
2019-04-19,0.883
2019-04-22,0.871
2019-04-23,0.867
2019-04-24,0.874
2019-04-25,0.836
2019-04-26,0.825
2019-04-29,0.798
2019-04-30,0.799
2019-05-06,0.741
2019-05-07,0.751
2019-05-08,0.747
2019-05-09,0.741
2019-05-10,0.769
2019-05-13,0.753
2019-05-14,0.751
2019-05-15,0.762
2019-05-16,0.76
2019-05-17,0.727
2019-05-20,0.726
2019-05-21,0.737
2019-05-22,0.735
2019-05-23,0.717
2019-05-24,0.711
2019-05-27,0.728
2019-05-28,0.727
2019-05-29,0.727
2019-05-30,0.722
2019-05-31,0.722
2019-06-03,0.709
2019-06-04,0.705
2019-06-05,0.711
2019-06-06,0.696
2019-06-10,0.701
2019-06-11,0.727
2019-06-12,0.719
2019-06-13,0.726
2019-06-14,0.711
2019-06-17,0.708
2019-06-18,0.71
2019-06-19,0.721
2019-06-20,0.733
2019-06-21,0.749
2019-06-24,0.745
2019-06-25,0.733
2019-06-26,0.732
2019-06-27,0.734
2019-06-28,0.726
2019-07-01,0.747
2019-07-02,0.747
2019-07-03,0.735
2019-07-04,0.734
2019-07-05,0.736
2019-07-08,0.709
2019-07-09,0.707
2019-07-10,0.699
2019-07-11,0.701
2019-07-12,0.704
2019-07-15,0.715
2019-07-16,0.716
2019-07-17,0.717
2019-07-18,0.705
2019-07-19,0.711
2019-07-22,0.701
2019-07-23,0.704
2019-07-24,0.712
2019-07-25,0.715
2019-07-26,0.716
2019-07-29,0.714
2019-07-30,0.731
2019-07-31,0.726
2019-08-01,0.724
2019-08-02,0.713
2019-08-05,0.7
2019-08-06,0.682
2019-08-07,0.675
2019-08-08,0.681
2019-08-09,0.677
2019-08-12,0.692
2019-08-13,0.685
2019-08-14,0.687
2019-08-15,0.69
2019-08-16,0.696
2019-08-19,0.726
2019-08-20,0.731
2019-08-21,0.728
2019-08-22,0.73
2019-08-23,0.726
2019-08-26,0.717
2019-08-27,0.732
2019-08-28,0.732
2019-08-29,0.74
2019-08-30,0.729
2019-09-02,0.755
2019-09-03,0.762
2019-09-04,0.767
2019-09-05,0.78
2019-09-06,0.782
2019-09-09,0.811
2019-09-10,0.804
2019-09-11,0.798
2019-09-12,0.805
2019-09-16,0.807
2019-09-17,0.785
2019-09-18,0.783
2019-09-19,0.789
2019-09-20,0.786
2019-09-23,0.781
2019-09-24,0.783
2019-09-25,0.771
2019-09-26,0.753
2019-09-27,0.761
2019-09-30,0.752
2019-10-08,0.739
2019-10-09,0.74
2019-10-10,0.748
2019-10-11,0.751
2019-10-14,0.767
2019-10-15,0.758
2019-10-16,0.756
2019-10-17,0.76
2019-10-18,0.752
2019-10-21,0.747
2019-10-22,0.75
2019-10-23,0.749
2019-10-24,0.749
2019-10-25,0.751
2019-10-28,0.777
2019-10-29,0.765
2019-10-30,0.756
2019-10-31,0.748
2019-11-01,0.756
2019-11-04,0.755
2019-11-05,0.756
2019-11-06,0.745
