date,close
2026-04-03,0.983
2026-04-07,0.986
2026-04-08,1.06
2026-04-09,1.043
2026-04-10,1.053
2026-04-13,1.046
2026-04-14,1.068
2026-04-15,1.071
2026-04-16,1.103
2026-04-17,1.106
2026-04-20,1.12
2026-04-21,1.126
2026-04-22,1.129
2026-04-23,1.116
2026-04-24,1.15
2026-04-27,1.178
2026-04-28,1.146
2026-04-29,1.145
2026-04-30,1.147
2026-05-06,1.204
2026-05-07,1.252
2026-05-08,1.246
2026-05-11,1.275
2026-05-12,1.249
2026-05-13,1.266
2026-05-14,1.248
2026-05-15,1.203
2026-05-18,1.194
2026-05-19,1.195
2026-05-20,1.231
2026-05-21,1.216
2026-05-22,1.288
2026-05-25,1.355
2026-05-26,1.36
2026-05-27,1.352
2026-05-28,1.378
2026-05-29,1.395
2026-06-01,1.395
2026-06-02,1.427
2026-06-03,1.425
2026-06-04,1.409
2026-06-05,1.35
2026-06-08,1.314
2026-06-09,1.392
2026-06-10,1.317
2026-06-11,1.301
2026-06-12,1.308
2026-06-15,1.397
2026-06-16,1.381
2026-06-17,1.417
2026-06-18,1.408
2026-06-22,1.449
2026-06-23,1.37
2026-06-24,1.436
2026-06-25,1.445
2026-06-26,1.367
2026-06-29,1.398
2026-06-30,1.445
2026-07-01,1.431
2026-07-02,1.327
2026-07-03,1.334
2026-07-06,1.283
2026-07-07,1.262
2026-07-08,1.301
2026-07-09,1.369
2026-07-10,1.345
2026-07-13,1.26
2026-07-14,1.276
