date,close
2026-01-05,1.981
2026-01-06,2.06
2026-01-07,2.068
2026-01-08,2.032
2026-01-09,2.094
2026-01-12,2.118
2026-01-13,2.141
2026-01-14,2.148
2026-01-15,2.206
2026-01-16,2.175
2026-01-19,2.177
2026-01-20,2.184
2026-01-21,2.253
2026-01-22,2.236
2026-01-23,2.293
2026-01-26,2.414
2026-01-27,2.391
2026-01-28,2.549
2026-01-29,2.595
2026-01-30,2.339
2026-02-02,2.105
2026-02-03,2.249
2026-02-04,2.253
2026-02-05,2.144
2026-02-06,2.153
2026-02-09,2.199
2026-02-10,2.195
2026-02-11,2.256
2026-02-12,2.271
2026-02-13,2.193
2026-02-24,2.26
2026-02-25,2.347
2026-02-26,2.329
2026-02-27,2.41
2026-03-02,2.498
2026-03-03,2.362
2026-03-04,2.345
2026-03-05,2.326
2026-03-06,2.279
2026-03-09,2.257
2026-03-10,2.279
2026-03-11,2.271
2026-03-12,2.254
2026-03-13,2.193
2026-03-16,2.126
2026-03-17,2.091
2026-03-18,2.075
2026-03-19,1.944
2026-03-20,1.917
2026-03-23,1.823
2026-03-24,1.892
2026-03-25,1.952
2026-03-26,1.919
2026-03-27,1.976
2026-03-30,2.008
2026-03-31,1.983
2026-04-01,2.026
2026-04-02,1.991
2026-04-03,1.971
2026-04-07,1.992
2026-04-08,2.119
2026-04-09,2.103
2026-04-10,2.096
2026-04-13,2.096
2026-04-14,2.136
2026-04-15,2.104
2026-04-16,2.17
2026-04-17,2.167
2026-04-20,2.179
2026-04-21,2.18
2026-04-22,2.179
2026-04-23,2.098
2026-04-24,2.118
2026-04-27,2.095
2026-04-28,2.043
2026-04-29,2.14
2026-04-30,2.119
2026-05-06,2.199
2026-05-07,2.207
2026-05-08,2.206
2026-05-11,2.208
2026-05-12,2.188
2026-05-13,2.209
2026-05-14,2.13
2026-05-15,2.039
2026-05-18,2.009
2026-05-19,1.981
2026-05-20,1.985
2026-05-21,1.947
2026-05-22,2.019
2026-05-25,2.025
2026-05-26,2.095
2026-05-27,2.013
2026-05-28,1.991
2026-05-29,1.965
2026-06-01,1.949
2026-06-02,2.015
2026-06-03,2.032
2026-06-04,1.97
2026-06-05,1.926
2026-06-08,1.82
2026-06-09,1.869
2026-06-10,1.843
2026-06-11,1.88
2026-06-12,1.976
2026-06-15,2.063
2026-06-16,2.049
2026-06-17,2.045
2026-06-18,2.05
2026-06-22,2.155
2026-06-23,1.976
2026-06-24,1.98
2026-06-25,1.922
2026-06-26,1.839
2026-06-29,1.864
2026-06-30,1.854
2026-07-01,1.848
2026-07-02,1.88
2026-07-03,1.892
2026-07-06,1.865
2026-07-07,1.803
2026-07-08,1.75
2026-07-09,1.745
2026-07-10,1.756
2026-07-13,1.679
2026-07-14,1.774
